Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Balance Last Statement,FinServ__BalanceLastStatement__c,TRUE,--,--,null,currency,FALSE,TRUE
Booked Date,FinServ__BookedDate__c,TRUE,--,--,null,date,FALSE,TRUE
Collateral Description,FinServ__CollateralDesc__c,TRUE,--,--,null,string,FALSE,TRUE
Current Posted Balance,FinServ__CurrentPostedBalance__c,TRUE,--,--,null,currency,FALSE,TRUE
Daily Withdrawal Limit,FinServ__DailyWithdrawalLimit__c,TRUE,--,--,null,currency,FALSE,TRUE
Draw Period(months),FinServ__DrawPeriodMonths__c,TRUE,--,--,null,double,FALSE,TRUE
Escrow Balance,FinServ__EscrowBalance__c,TRUE,--,--,null,currency,FALSE,TRUE
Expected Close Date,FinServ__ExpectedCloseDate__c,TRUE,--,--,null,date,FALSE,TRUE
Charges And Fees,FinServ__FinancialAccountChargesAndFees__c,TRUE,--,"[ ""FinServ__ChargesAndFees__c"" ]",FinServ__FinancialAccountChargesAndFees__r,reference,FALSE,TRUE
Interest Rate,FinServ__InterestRate__c,TRUE,--,--,null,percent,FALSE,TRUE
Last Transaction Date,FinServ__LastTransactionDate__c,TRUE,--,--,null,datetime,FALSE,TRUE
Lien Holder,FinServ__LienHolder__c,TRUE,--,--,null,string,FALSE,TRUE
Loan Amount,FinServ__LoanAmount__c,TRUE,--,--,null,currency,FALSE,TRUE
Loan End Date,FinServ__LoanEndDate__c,TRUE,--,--,null,date,FALSE,TRUE
Loan Term(months),FinServ__LoanTermMonths__c,TRUE,--,--,null,double,FALSE,TRUE
Minimum Payment,FinServ__MinimumPayment__c,TRUE,--,--,null,currency,FALSE,TRUE
Nickname,FinServ__Nickname__c,TRUE,--,--,null,string,FALSE,TRUE
OverdraftAllowed,FinServ__OverdraftAllowed__c,FALSE,--,--,null,boolean,FALSE,TRUE
Overdraft/Linked Account,FinServ__OverdraftLinkedAccount__c,TRUE,--,"[ ""Account"" ]",FinServ__OverdraftLinkedAccount__r,reference,FALSE,TRUE
Payment Amount,FinServ__PaymentAmount__c,TRUE,--,--,null,currency,FALSE,TRUE
Payment Frequency,FinServ__PaymentFrequency__c,TRUE,"[ ""Weekly"" , ""Biweekly"" , ""Monthly"" , ""Quaterly"" , ""Semiannual"" , ""Annual"" ]",--,null,picklist,FALSE,TRUE
Pending Deposits,FinServ__PendingDeposits__c,TRUE,--,--,null,currency,FALSE,TRUE
Pending Withdrawals,FinServ__PendingWithdrawals__c,TRUE,--,--,null,currency,FALSE,TRUE
Principal Balance,FinServ__PrincipalBalance__c,TRUE,--,--,null,currency,FALSE,TRUE
Repayment Period(months),FinServ__RepaymentPeriodMonths__c,TRUE,--,--,null,double,FALSE,TRUE
RoutingNumber,FinServ__RoutingNumber__c,TRUE,--,--,null,string,FALSE,TRUE
Stage,FinServ__Stage__c,TRUE,"[ ""Qualification"" , ""Underwriting"" , ""Proposal"" , ""Approval/Loan committee"" , ""Processing"" , ""Doc Prep"" , ""Doc Review"" , ""Closing"" , ""Booked"" , ""Complete"" , ""Hold"" , ""Dormant"" , ""Active"" , ""Escheat"" , ""Closed"" , ""Charged off"" , ""Ordered"" , ""Setup Complete"" ]",--,null,picklist,FALSE,TRUE
Statement Frequency,FinServ__StatementFrequency__c,TRUE,"[ ""Monthly"" , ""Biweekly"" , ""Quarterly"" , ""Yearly"" ]",--,null,picklist,FALSE,TRUE
Total Credit Limit,FinServ__TotalCreditLimit__c,TRUE,--,--,null,currency,FALSE,TRUE
Type,FinServ__Type__c,TRUE,"[ ""Single Family home"" , ""Town home"" , ""Leased"" , ""Owned"" ]",--,null,picklist,FALSE,TRUE
Policy Term,FinServ__PolicyTerm__c,TRUE,"[ ""6 Months"" , ""1 Year"" , ""2 Years"" , ""3 Years"" ]",--,null,picklist,FALSE,TRUE
Product Name,FinServ__ProductName__c,TRUE,--,"[ ""Product2"" ]",FinServ__ProductName__r,reference,FALSE,TRUE
