id,actor
tt0111161,Tim Robbins
tt0111161,Morgan Freeman
tt0068646,Marlon Brando
tt0068646,Al Pacino
tt0068646,James Caan
tt0071562,Al Pacino
tt0071562,Robert Duvall
tt0071562,Diane Keaton
tt0110912,John Travolta
tt0110912,Tim Roth
tt0110912,Amanda Plummer
tt0060196,Clint Eastwood
tt0060196,Lee Van Cleef
tt0060196,Eli Wallach


